./compare_output.py ../tiger2023 ../tiger2024

08085.csv: added 223 (2.73%), deleted 228 (2.79%), changed 19 (0.23%)
08087.csv: added 79 (1.40%), deleted 87 (1.55%), changed 3 (0.05%)
08089.csv: added 186 (2.57%), deleted 179 (2.48%), changed 17 (0.24%)
08091.csv: added 147 (8.01%), deleted 126 (6.87%), changed 13 (0.71%)
08093.csv: added 188 (2.43%), deleted 206 (2.66%), changed 21 (0.27%)
08095.csv: added 50 (2.46%), deleted 38 (1.87%), changed 3 (0.15%)
08097.csv: added 143 (4.48%), deleted 120 (3.76%), changed 6 (0.19%)
08099.csv: added 129 (2.97%), deleted 173 (3.99%), changed 13 (0.30%)
08101.csv: added 349 (1.49%), deleted 391 (1.67%), changed 31 (0.13%)
08103.csv: added 23 (0.58%), deleted 43 (1.08%), changed 3 (0.08%)
08105.csv: added 120 (2.67%), deleted 119 (2.65%), changed 12 (0.27%)
08107.csv: added 253 (4.60%), deleted 288 (5.23%), changed 59 (1.07%)
08109.csv: added 89 (3.34%), deleted 70 (2.63%), changed 5 (0.19%)
08111.csv: added 5 (2.25%), deleted 8 (3.60%), changed 0 (0.00%)
08113.csv: added 100 (4.11%), deleted 119 (4.89%), changed 8 (0.33%)
08115.csv: added 10 (0.39%), deleted 16 (0.63%), changed 33 (1.30%)
08117.csv: added 257 (6.13%), deleted 251 (5.98%), changed 39 (0.93%)
08119.csv: added 242 (3.30%), deleted 273 (3.72%), changed 14 (0.19%)
08121.csv: added 36 (1.08%), deleted 35 (1.05%), changed 4 (0.12%)
08123.csv: added 588 (1.61%), deleted 413 (1.13%), changed 38 (0.10%)
08125.csv: added 117 (1.10%), deleted 158 (1.48%), changed 29 (0.27%)
09110.csv: added 391 (0.61%), deleted 379 (0.59%), changed 15 (0.02%)
09120.csv: added 88 (0.38%), deleted 86 (0.37%), changed 3 (0.01%)
09130.csv: added 119 (0.69%), deleted 109 (0.63%), changed 1 (0.01%)
09140.csv: added 173 (0.52%), deleted 153 (0.46%), changed 2 (0.01%)
09150.csv: added 58 (0.57%), deleted 51 (0.50%), changed 3 (0.03%)
09160.csv: added 81 (0.58%), deleted 97 (0.69%), changed 8 (0.06%)
09170.csv: added 199 (0.53%), deleted 186 (0.49%), changed 15 (0.04%)
09180.csv: added 215 (0.88%), deleted 222 (0.91%), changed 20 (0.08%)
09190.csv: added 523 (1.23%), deleted 491 (1.16%), changed 28 (0.07%)
10001.csv: added 365 (2.23%), deleted 269 (1.65%), changed 16076 (98.35%)
10003.csv: added 448 (1.14%), deleted 450 (1.14%), changed 38957 (98.86%)
10005.csv: added 1531 (4.56%), deleted 1459 (4.35%), changed 32094 (95.65%)
11001.csv: added 126 (0.55%), deleted 139 (0.61%), changed 22749 (99.39%)
12001.csv: added 291 (1.02%), deleted 255 (0.90%), changed 28136 (99.10%)
12003.csv: added 111 (2.94%), deleted 96 (2.54%), changed 3679 (97.46%)
12005.csv: added 1606 (7.28%), deleted 1488 (6.75%), changed 20561 (93.25%)
12007.csv: added 185 (4.26%), deleted 159 (3.67%), changed 4179 (96.33%)
12009.csv: added 713 (1.37%), deleted 690 (1.33%), changed 51335 (98.67%)
12011.csv: added 1182 (1.11%), deleted 1027 (0.96%), changed 105816 (99.04%)
12013.csv: added 75 (2.46%), deleted 64 (2.10%), changed 2985 (97.90%)
12015.csv: added 847 (3.59%), deleted 642 (2.72%), changed 22961 (97.28%)
12017.csv: added 684 (2.31%), deleted 594 (2.01%), changed 28905 (97.82%)
12019.csv: added 268 (1.39%), deleted 257 (1.33%), changed 19069 (98.67%)
12021.csv: added 333 (1.48%), deleted 256 (1.13%), changed 22317 (98.87%)
12023.csv: added 76 (0.63%), deleted 79 (0.66%), changed 11981 (99.34%)
12027.csv: added 269 (6.46%), deleted 203 (4.87%), changed 3962 (95.13%)
12029.csv: added 41 (0.94%), deleted 34 (0.78%), changed 4341 (99.22%)
12031.csv: added 913 (1.23%), deleted 860 (1.16%), changed 73152 (98.84%)
12033.csv: added 603 (1.74%), deleted 589 (1.70%), changed 33996 (98.08%)
12035.csv: added 274 (2.63%), deleted 222 (2.13%), changed 10214 (97.87%)
12037.csv: added 231 (8.30%), deleted 188 (6.75%), changed 2596 (93.25%)
12039.csv: added 433 (6.01%), deleted 400 (5.56%), changed 6644 (92.28%)
12041.csv: added 83 (2.43%), deleted 79 (2.31%), changed 3334 (97.69%)
12043.csv: added 119 (6.05%), deleted 94 (4.78%), changed 1872 (95.22%)
12045.csv: added 43 (1.17%), deleted 37 (1.01%), changed 3643 (98.99%)
12047.csv: added 74 (2.83%), deleted 67 (2.57%), changed 2544 (97.43%)
12049.csv: added 28 (0.70%), deleted 31 (0.77%), changed 3983 (99.23%)
