./compare_output.py ../tiger2024/ ../tiger2025/

05061.csv: added 521 (12.76%), deleted 472 (11.56%), changed 40 (0.98%)
05063.csv: added 1511 (18.30%), deleted 1425 (17.26%), changed 141 (1.71%)
05065.csv: added 364 (11.53%), deleted 317 (10.04%), changed 44 (1.39%)
05067.csv: added 561 (16.26%), deleted 534 (15.47%), changed 100 (2.90%)
05069.csv: added 1400 (8.60%), deleted 1312 (8.06%), changed 96 (0.59%)
05071.csv: added 879 (12.49%), deleted 921 (13.08%), changed 111 (1.58%)
05073.csv: added 187 (12.55%), deleted 131 (8.79%), changed 18 (1.21%)
05075.csv: added 583 (11.07%), deleted 643 (12.21%), changed 189 (3.59%)
05077.csv: added 448 (14.66%), deleted 575 (18.82%), changed 104 (3.40%)
05079.csv: added 231 (11.87%), deleted 197 (10.12%), changed 25 (1.28%)
05081.csv: added 380 (10.96%), deleted 379 (10.93%), changed 34 (0.98%)
05083.csv: added 731 (14.16%), deleted 684 (13.25%), changed 70 (1.36%)
05085.csv: added 1382 (12.91%), deleted 1327 (12.40%), changed 80 (0.75%)
05087.csv: added 769 (15.99%), deleted 699 (14.54%), changed 97 (2.02%)
05089.csv: added 556 (10.65%), deleted 496 (9.50%), changed 141 (2.70%)
05091.csv: added 672 (9.59%), deleted 607 (8.67%), changed 54 (0.77%)
05093.csv: added 617 (7.37%), deleted 609 (7.27%), changed 51 (0.61%)
05095.csv: added 271 (14.22%), deleted 235 (12.33%), changed 28 (1.47%)
05097.csv: added 462 (15.13%), deleted 392 (12.84%), changed 87 (2.85%)
05099.csv: added 221 (10.90%), deleted 174 (8.58%), changed 7 (0.35%)
05101.csv: added 66 (11.38%), deleted 47 (8.10%), changed 11 (1.90%)
05103.csv: added 797 (12.29%), deleted 881 (13.59%), changed 136 (2.10%)
05105.csv: added 514 (19.18%), deleted 492 (18.36%), changed 122 (4.55%)
05107.csv: added 541 (13.86%), deleted 492 (12.61%), changed 53 (1.36%)
05109.csv: added 479 (14.34%), deleted 442 (13.23%), changed 61 (1.83%)
05111.csv: added 554 (10.00%), deleted 526 (9.50%), changed 55 (0.99%)
05113.csv: added 1054 (14.22%), deleted 1011 (13.64%), changed 195 (2.63%)
05115.csv: added 1775 (12.85%), deleted 1906 (13.80%), changed 247 (1.79%)
05117.csv: added 257 (11.29%), deleted 213 (9.35%), changed 28 (1.23%)
05119.csv: added 3608 (7.57%), deleted 3394 (7.12%), changed 242 (0.51%)
05121.csv: added 633 (11.17%), deleted 568 (10.02%), changed 34 (0.60%)
05123.csv: added 762 (12.14%), deleted 1076 (17.14%), changed 152 (2.42%)
05125.csv: added 1739 (9.79%), deleted 1677 (9.45%), changed 143 (0.81%)
05127.csv: added 278 (10.21%), deleted 252 (9.26%), changed 27 (0.99%)
05129.csv: added 362 (15.11%), deleted 300 (12.52%), changed 96 (4.01%)
05131.csv: added 1074 (6.04%), deleted 969 (5.45%), changed 38 (0.21%)
05133.csv: added 416 (11.94%), deleted 354 (10.16%), changed 35 (1.00%)
05135.csv: added 1215 (22.89%), deleted 1249 (23.53%), changed 407 (7.67%)
05137.csv: added 593 (16.97%), deleted 593 (16.97%), changed 100 (2.86%)
05139.csv: added 806 (8.49%), deleted 789 (8.31%), changed 105 (1.11%)
05141.csv: added 648 (13.36%), deleted 583 (12.02%), changed 92 (1.90%)
05143.csv: added 3677 (12.73%), deleted 3823 (13.23%), changed 368 (1.27%)
05145.csv: added 2124 (16.57%), deleted 1885 (14.70%), changed 136 (1.06%)
05147.csv: added 185 (13.02%), deleted 131 (9.22%), changed 17 (1.20%)
05149.csv: added 428 (9.26%), deleted 388 (8.40%), changed 118 (2.55%)
06001.csv: added 6004 (7.32%), deleted 5618 (6.85%), changed 382 (0.47%)
06003.csv: added 92 (16.17%), deleted 121 (21.27%), changed 19 (3.34%)
06005.csv: added 808 (11.98%), deleted 847 (12.56%), changed 67 (0.99%)
06007.csv: added 3364 (13.46%), deleted 2716 (10.87%), changed 193 (0.77%)
06009.csv: added 765 (8.01%), deleted 725 (7.59%), changed 76 (0.80%)
06011.csv: added 295 (9.69%), deleted 235 (7.72%), changed 26 (0.85%)
06013.csv: added 6142 (8.27%), deleted 6248 (8.41%), changed 435 (0.59%)
06015.csv: added 558 (12.97%), deleted 593 (13.79%), changed 67 (1.56%)
06017.csv: added 3501 (13.24%), deleted 3203 (12.11%), changed 447 (1.69%)
06019.csv: added 4522 (6.12%), deleted 4229 (5.72%), changed 228 (0.31%)
06021.csv: added 555 (15.37%), deleted 477 (13.21%), changed 43 (1.19%)
06023.csv: added 2952 (14.52%), deleted 3141 (15.45%), changed 377 (1.85%)
06025.csv: added 880 (6.93%), deleted 789 (6.21%), changed 79 (0.62%)
06027.csv: added 222 (8.87%), deleted 265 (10.58%), changed 45 (1.80%)
06029.csv: added 6051 (8.01%), deleted 5750 (7.61%), changed 560 (0.74%)
06031.csv: added 1289 (10.47%), deleted 1179 (9.58%), changed 69 (0.56%)
06033.csv: added 1504 (13.94%), deleted 1522 (14.11%), changed 146 (1.35%)
06035.csv: added 157 (11.80%), deleted 153 (11.50%), changed 15 (1.13%)
06037.csv: added 42520 (9.72%), deleted 50585 (11.56%), changed 3555 (0.81%)
06039.csv: added 2968 (17.11%), deleted 2925 (16.86%), changed 306 (1.76%)
06041.csv: added 1101 (5.73%), deleted 1101 (5.73%), changed 156 (0.81%)
06043.csv: added 1062 (25.80%), deleted 1082 (26.28%), changed 150 (3.64%)
06045.csv: added 1575 (12.86%), deleted 1762 (14.39%), changed 250 (2.04%)
06047.csv: added 1865 (7.02%), deleted 1920 (7.22%), changed 182 (0.68%)
06049.csv: added 283 (9.95%), deleted 250 (8.79%), changed 64 (2.25%)
06051.csv: added 332 (14.33%), deleted 328 (14.16%), changed 44 (1.90%)
06053.csv: added 3604 (14.25%), deleted 3451 (13.65%), changed 230 (0.91%)
06055.csv: added 861 (7.57%), deleted 822 (7.23%), changed 53 (0.47%)
06057.csv: added 2445 (14.16%), deleted 2439 (14.12%), changed 302 (1.75%)
06059.csv: added 18469 (11.70%), deleted 17384 (11.01%), changed 1173 (0.74%)
06061.csv: added 3297 (9.22%), deleted 3193 (8.93%), changed 243 (0.68%)
06063.csv: added 730 (14.80%), deleted 704 (14.28%), changed 132 (2.68%)
06065.csv: added 11246 (7.15%), deleted 10609 (6.74%), changed 795 (0.51%)
06067.csv: added 6136 (6.51%), deleted 5732 (6.08%), changed 335 (0.36%)
06069.csv: added 550 (9.73%), deleted 533 (9.43%), changed 59 (1.04%)
06071.csv: added 10772 (5.37%), deleted 10422 (5.19%), changed 1021 (0.51%)
06073.csv: added 18393 (10.03%), deleted 18602 (10.14%), changed 1145 (0.62%)
06075.csv: added 1963 (7.80%), deleted 1855 (7.37%), changed 67 (0.27%)
06077.csv: added 4693 (9.40%), deleted 4016 (8.05%), changed 201 (0.40%)
06079.csv: added 2589 (8.19%), deleted 2487 (7.87%), changed 197 (0.62%)
06081.csv: added 3411 (8.74%), deleted 3188 (8.17%), changed 172 (0.44%)
06083.csv: added 1849 (6.39%), deleted 1829 (6.32%), changed 160 (0.55%)
06085.csv: added 8038 (8.42%), deleted 8615 (9.02%), changed 754 (0.79%)
06087.csv: added 3103 (13.22%), deleted 4123 (17.56%), changed 558 (2.38%)
06089.csv: added 3402 (13.53%), deleted 3271 (13.01%), changed 389 (1.55%)
06091.csv: added 143 (17.70%), deleted 136 (16.83%), changed 26 (3.22%)
06093.csv: added 1286 (10.06%), deleted 1383 (10.82%), changed 165 (1.29%)
06095.csv: added 3854 (12.52%), deleted 3670 (11.93%), changed 395 (1.28%)
06097.csv: added 5736 (13.60%), deleted 5699 (13.51%), changed 445 (1.06%)
06099.csv: added 3411 (8.20%), deleted 3104 (7.46%), changed 157 (0.38%)
06101.csv: added 484 (5.59%), deleted 430 (4.97%), changed 24 (0.28%)
06103.csv: added 1592 (15.80%), deleted 1529 (15.17%), changed 209 (2.07%)
06105.csv: added 459 (16.84%), deleted 449 (16.48%), changed 118 (4.33%)
06107.csv: added 3287 (7.97%), deleted 3165 (7.68%), changed 208 (0.50%)
06109.csv: added 1522 (15.87%), deleted 1647 (17.17%), changed 259 (2.70%)
06111.csv: added 3411 (6.68%), deleted 3375 (6.61%), changed 278 (0.54%)
06113.csv: added 737 (5.18%), deleted 711 (5.00%), changed 50 (0.35%)
06115.csv: added 1157 (14.09%), deleted 1094 (13.33%), changed 148 (1.80%)
08001.csv: added 2125 (5.82%), deleted 1694 (4.64%), changed 158 (0.43%)
08003.csv: added 331 (8.53%), deleted 301 (7.75%), changed 61 (1.57%)
08005.csv: added 1839 (4.33%), deleted 1673 (3.94%), changed 115 (0.27%)
08007.csv: added 568 (16.22%), deleted 453 (12.94%), changed 38 (1.09%)
08009.csv: added 55 (1.97%), deleted 57 (2.04%), changed 19 (0.68%)
08011.csv: added 50 (2.58%), deleted 55 (2.84%), changed 11 (0.57%)
08013.csv: added 2359 (8.37%), deleted 2336 (8.29%), changed 193 (0.68%)
08014.csv: added 345 (6.74%), deleted 413 (8.07%), changed 52 (1.02%)
08015.csv: added 823 (16.66%), deleted 730 (14.78%), changed 99 (2.00%)
08017.csv: added 61 (5.07%), deleted 47 (3.90%), changed 6 (0.50%)
08019.csv: added 214 (7.88%), deleted 275 (10.13%), changed 49 (1.80%)
08021.csv: added 245 (7.98%), deleted 225 (7.33%), changed 28 (0.91%)
08023.csv: added 276 (23.73%), deleted 191 (16.42%), changed 32 (2.75%)
08025.csv: added 31 (1.52%), deleted 35 (1.72%), changed 6 (0.29%)
08027.csv: added 598 (17.24%), deleted 667 (19.23%), changed 211 (6.08%)
08029.csv: added 758 (9.52%), deleted 790 (9.92%), changed 150 (1.88%)
08031.csv: added 1376 (3.25%), deleted 1269 (3.00%), changed 59 (0.14%)
08033.csv: added 149 (12.38%), deleted 208 (17.28%), changed 75 (6.23%)
08035.csv: added 2185 (8.01%), deleted 1939 (7.11%), changed 183 (0.67%)
08037.csv: added 670 (11.78%), deleted 720 (12.66%), changed 87 (1.53%)
08039.csv: added 776 (14.72%), deleted 721 (13.68%), changed 90 (1.71%)
08041.csv: added 5728 (9.25%), deleted 6874 (11.10%), changed 696 (1.12%)
08043.csv: added 1976 (20.11%), deleted 2276 (23.16%), changed 463 (4.71%)
08045.csv: added 1575 (18.13%), deleted 1901 (21.89%), changed 255 (2.94%)
08047.csv: added 255 (15.29%), deleted 400 (23.98%), changed 107 (6.41%)
08049.csv: added 421 (9.91%), deleted 416 (9.79%), changed 64 (1.51%)
08051.csv: added 875 (14.64%), deleted 1143 (19.13%), changed 154 (2.58%)
08053.csv: added 43 (9.35%), deleted 62 (13.48%), changed 23 (5.00%)
08055.csv: added 522 (17.68%), deleted 552 (18.70%), changed 173 (5.86%)
08057.csv: added 87 (13.02%), deleted 100 (14.97%), changed 13 (1.95%)
08059.csv: added 3102 (5.61%), deleted 2952 (5.34%), changed 229 (0.41%)
08061.csv: added 24 (1.15%), deleted 28 (1.34%), changed 3 (0.14%)
08063.csv: added 195 (5.29%), deleted 186 (5.05%), changed 26 (0.71%)
08065.csv: added 149 (11.96%), deleted 139 (11.16%), changed 37 (2.97%)
08067.csv: added 1002 (9.47%), deleted 1125 (10.63%), changed 189 (1.79%)
08069.csv: added 3656 (8.08%), deleted 3760 (8.31%), changed 526 (1.16%)
08071.csv: added 805 (13.33%), deleted 946 (15.66%), changed 238 (3.94%)
08073.csv: added 116 (4.38%), deleted 136 (5.14%), changed 18 (0.68%)
08075.csv: added 663 (9.50%), deleted 677 (9.70%), changed 124 (1.78%)
08077.csv: added 1622 (8.83%), deleted 1367 (7.44%), changed 154 (0.84%)
08079.csv: added 68 (14.41%), deleted 53 (11.23%), changed 6 (1.27%)
08081.csv: added 525 (17.51%), deleted 594 (19.81%), changed 120 (4.00%)
08083.csv: added 1051 (14.75%), deleted 1553 (21.79%), changed 333 (4.67%)
08085.csv: added 1340 (16.39%), deleted 1606 (19.65%), changed 226 (2.76%)
08087.csv: added 583 (10.37%), deleted 553 (9.83%), changed 106 (1.89%)
